LNG Esports vs Ultra Prime
Game 1
Time,31:02
LNG Esports - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Renekton,5,6,10,2.5,312,8,20585.93,48785.7
JUNGLE,Vi,3,5,14,3.4,184,4.7,10234.9,38313
MID,Taliyah,8,3,13,7,300,7.7,40249,19738.3
ADC,Lucian,6,2,11,8.5,374,9.6,33226.65,19838.6
SUPPORT,Nami,1,2,20,10.5,15,0.4,7247.42,12039

OMG vs Top Esports
Game 1
Time,34:17
OMG - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,KSante,7,2,9,8,305,8.9,23364.26,24066
JUNGLE,Vi,4,2,8,6,222,6.5,13312.52,26801
MID,Ahri,0,2,13,6.5,310,9,28482.27,19100.2
ADC,Aphelios,8,4,7,3.8,288,8.4,34585.64,14998.4
SUPPORT,Renata Glasc,0,1,16,16,43,1.3,6239.16,14963.1
Top Esports - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Jax,4,5,4,1.6,247,7.2,16968.29,28257
JUNGLE,Sejuani,0,5,8,1.6,167,4.9,12493.97,37196.6
MID,Galio,0,4,6,1.5,277,8.1,9049.83,25911.2
ADC,Zeri,5,3,5,3.3,344,10,34829.86,17492.2
SUPPORT,Rakan,2,2,8,5,46,1.3,4345.2,20291.7
Game 2
Time,28:10
Top Esports - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Malphite,4,1,14,18,176,6.2,13004.53,17986.5
JUNGLE,Maokai,3,1,16,19,120,4.3,9062.48,21154.8
MID,LeBlanc,6,0,9,Perfect KDA,229,8.1,22468.24,12894.3
ADC,Jinx,7,1,10,17,268,9.5,26525.64,11388.4
SUPPORT,Tahm Kench,1,0,15,Perfect KDA,44,1.6,4801.33,12563.9
OMG - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Kennen,1,5,2,0.6,198,7,14717.66,14685.6
JUNGLE,Jarvan IV,1,4,2,0.8,126,4.5,5864.2,23776.5
MID,Kassadin,1,2,0,0.5,223,7.9,9335.66,27195.6
ADC,Aphelios,0,5,2,0.4,227,8.1,16209.62,9040.95
SUPPORT,Nautilus,0,5,2,0.4,29,1,3964.58,16938.9
Game 3
Time,30:41
OMG - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Kennen,6,1,5,11,260,8.5,20377.68,12936.1
JUNGLE,Vi,0,4,8,2,162,5.3,5487.06,25785.5
MID,Ahri,3,1,9,12,261,8.5,16258.3,16969.2
ADC,Aphelios,4,3,4,2.7,260,8.5,12349.39,6259.95
SUPPORT,Rakan,1,0,12,Perfect KDA,45,1.5,4174.63,10349.8
Top Esports - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Malphite,2,2,2,2,190,6.2,10912.04,16269.9
JUNGLE,Wukong,1,4,6,1.8,168,5.5,6172.29,27085.5
MID,LeBlanc,3,2,3,3,244,8,16309.04,16752.6
ADC,Jinx,3,3,4,2.3,309,10.1,15253.09,12705.2
SUPPORT,Tahm Kench,0,3,7,2.3,45,1.5,2607.01,13427.2

JD Gaming vs LGD Gaming
Game 1
Time,26:20
JD Gaming - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Kennen,1,1,2,3,280,10.6,14876.12,15809.6
JUNGLE,Wukong,1,1,6,7,175,6.6,3780.49,17653.9
MID,Gragas,1,1,6,7,240,9.1,6866.14,17811.3
ADC,Aphelios,6,0,3,Perfect KDA,256,9.7,15140.32,3911.5
SUPPORT,Annie,2,0,9,Perfect KDA,19,0.7,4376.51,6043.7
LGD Gaming - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Sion,0,1,1,1,206,7.8,8615.89,18703.3
JUNGLE,Elise,1,3,2,1,131,5,6420.98,13489.5
MID,Tristana,2,1,1,3,253,9.6,8236.17,7902.55
ADC,Zeri,0,1,0,0,275,10.4,4524.64,9814.71
SUPPORT,Nautilus,0,5,1,0.2,35,1.3,2468.33,9598.03
Game 2
Time,32:57
LGD Gaming - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Renekton,1,5,1,0.4,276,8.4,10099.82,27481.4
JUNGLE,Wukong,0,3,4,1.3,167,5.1,3092.58,25697.1
MID,Taliyah,0,3,4,1.3,261,7.9,7245.55,12452.5
ADC,Aphelios,6,2,0,3,346,10.5,19446.58,5449.94
SUPPORT,Nautilus,0,4,5,1.3,36,1.1,1904.97,15045.4
JD Gaming - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Ornn,2,0,11,Perfect KDA,226,6.9,14852.27,17602.3
JUNGLE,Vi,6,2,8,7,222,6.7,9882.79,21047.8
MID,Syndra,6,2,6,6,314,9.5,21628.9,10659
ADC,Zeri,3,0,8,Perfect KDA,391,11.9,15926.39,8528.72
SUPPORT,Rakan,0,3,14,4.7,47,1.4,4018.75,10925

Ninjas in Pyjamas vs Royal Never Give Up
Game 1
Time,38:28
Ninjas in Pyjamas - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,KSante,1,2,6,3.5,343,8.9,22051.18,30948.6
JUNGLE,Vi,8,2,2,5,208,5.4,21313.35,36738.9
MID,Ahri,1,1,11,12,305,7.9,18865.84,19245.7
ADC,Xayah,3,1,5,8,425,11,17161.9,14832.3
SUPPORT,Rakan,1,2,10,5.5,39,1,4603.8,16963.6
Royal Never Give Up - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Gwen,3,4,0,0.8,369,9.6,24762.25,39916.6
JUNGLE,Wukong,1,4,3,1,203,5.3,10327.2,38415.9
MID,LeBlanc,1,1,4,5,294,7.6,27879.72,18932.1
ADC,Zeri,2,4,2,1,402,10.5,19894.88,15650.8
SUPPORT,Lulu,1,1,5,6,20,0.5,4890.16,7911.85
Game 2
Time,36:25
Royal Never Give Up - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Jayce,4,5,1,1,314,8.6,33503.31,29195
JUNGLE,Wukong,1,4,2,0.8,154,4.2,9614.36,32494.2
MID,Gragas,1,4,2,0.8,261,7.2,14581.46,33862.2
ADC,Aphelios,2,1,2,4,402,11,19994.34,8003.66
SUPPORT,Heimerdinger,0,1,4,4,27,0.7,14693.13,11696.8
Ninjas in Pyjamas - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,KSante,1,2,8,4.5,297,8.2,18853.35,40026.9
JUNGLE,Elise,1,3,8,3,158,4.3,15610.07,34273.2
MID,Tristana,7,0,5,Perfect KDA,336,9.2,27339.35,15637.6
ADC,Xayah,5,2,6,5.5,348,9.6,19706.45,22180.9
SUPPORT,Soraka,1,1,14,15,52,1.4,4183.47,8055.57

LNG Esports vs Invictus Gaming
Game 1
Time,22:40
LNG Esports - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,KSante,2,0,6,Perfect KDA,203,9,15741.56,12164
JUNGLE,Lee Sin,5,1,13,18,127,5.6,7945.09,20159.1
MID,Annie,5,0,12,Perfect KDA,178,7.9,21191.46,9281.75
ADC,Lucian,10,0,3,Perfect KDA,194,8.6,19314.02,9276.93
SUPPORT,Nami,0,0,19,Perfect KDA,7,0.3,5823.52,3835.78
Invictus Gaming - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Sion,0,3,1,0.3,192,8.5,11753.39,25548.8
JUNGLE,Viego,0,4,1,0.3,129,5.7,2076.65,18891.2
MID,Ryze,0,4,0,0,173,7.6,7986.94,20179.9
ADC,Aphelios,0,6,1,0.2,164,7.2,6452.07,9271.59
SUPPORT,Nautilus,1,5,0,0.2,32,1.4,3560.6,11275.6
Game 2
Time,47:35
Invictus Gaming - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Sion,4,1,17,21,349,7.3,21978,61533.7
JUNGLE,Viego,4,3,14,6,243,5.1,15576.46,45807.4
MID,Galio,3,3,16,6.3,296,6.2,17300.79,35678.4
ADC,Zeri,13,3,6,6.3,509,10.7,35882.4,26969.3
SUPPORT,Rakan,2,4,17,4.8,50,1.1,8043.23,28386.2
LNG Esports - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Kennen,4,6,5,1.5,387,8.1,37616.64,25556.8
JUNGLE,Gragas,1,7,6,1,218,4.6,13787.07,40503.2
MID,Jayce,3,5,8,2.2,417,8.8,43608.33,31370.9
ADC,Aphelios,6,3,6,4,420,8.8,62459.82,15091.4
SUPPORT,Lulu,0,5,13,2.6,24,0.5,4746.71,17806.1
Game 3
Time,23:11
LNG Esports - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Gwen,2,0,2,Perfect KDA,218,9.4,11368.11,13751.6
JUNGLE,Maokai,2,0,6,Perfect KDA,120,5.2,5424.98,16138
MID,Tristana,3,1,5,8,252,10.9,21185.64,10396.6
ADC,Lucian,7,0,4,Perfect KDA,191,8.2,18793.88,8885.27
SUPPORT,Nami,0,1,12,12,9,0.4,3803.02,6564.53
Invictus Gaming - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,KSante,0,3,0,0,164,7.1,7193.62,16014.8
JUNGLE,Xin Zhao,2,3,0,0.7,140,6,7915.7,21990.7
MID,Akali,0,4,0,0,161,6.9,6617.33,19523.5
ADC,Zeri,0,2,1,0.5,219,9.4,5034.59,12800.2
SUPPORT,Lulu,0,2,1,0.5,7,0.3,3721.98,10239.3

Funplus Phoenix vs Edward Gaming
Game 1
Time,40:02
Funplus Phoenix - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,KSante,4,2,16,10,307,7.7,15399.06,35813.7
JUNGLE,Wukong,3,1,16,19,186,4.6,13853.7,33961.2
MID,Aurelion Sol,15,1,10,25,341,8.5,47052,30351.3
ADC,Aphelios,2,4,13,3.8,386,9.6,25989.43,15811.4
SUPPORT,Annie,1,4,18,4.8,27,0.7,8764.55,19049.8
Edward Gaming - LOSS
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Gnar,2,6,2,0.7,345,8.6,17339.2,30071
JUNGLE,Maokai,2,6,8,1.7,191,4.8,21281.87,43448.8
MID,Viktor,5,4,4,2.3,325,8.1,31042.04,27765.1
ADC,Zeri,3,5,6,1.8,483,12.1,38832.5,29320.4
SUPPORT,Lulu,0,4,11,2.8,27,0.7,3987.86,13474
Game 2
Time,25:03
Edward Gaming - WIN
Role,Champion,Kills,Deaths,Assists,KDA,CS,Golds,TotalDamage,TotalDamageTaken
TOP,Gnar,4,0,5,Perfect KDA,258,10.3,14627.32,13695.2
JUNGLE,Lee Sin,3,0,10,Perfect KDA,125,5,8682.73,19933.3
